6B英语背诵,U1词组,来访的学生,visiting students,,问答
6B英语背诵,U1词组,与某人分享,share with sb.,,问答
6B英语背诵,U1词组,看起来像,look like,,问答
6B英语背诵,U1词组,蓝衣女孩,the girl in blue,,问答
6B英语背诵,U1词组,比 Mika 高,taller than Mika,,问答
6B英语背诵,U1词组,带着温暖的笑容,with a warm smile,,问答
6B英语背诵,U1词组,一只叫 Fool 的肥猫,a fat cat called Fool,,问答
6B英语背诵,U1词组,离我们学校很远,far from our school,,问答
6B英语背诵,U1词组,愿意帮助某人,offer to help sb.,,问答
6B英语背诵,U1词组,听起来令人兴奋,sound exciting,,问答
6B英语背诵,U1词组,擅长于,be good/great at,,问答
6B英语背诵,U1词组,看起来很伤心,look sad,,问答
6B英语背诵,U1词组,嘲笑我,laugh at me,,问答
6B英语背诵,U1词组,毫无疑问,without any doubt,,问答
6B英语背诵,U1词组,给以教训,teach a lesson,,问答
6B英语背诵,U1词组,几年后,in a few years,,问答
6B英语背诵,U1词组,受伤,get hurt,,问答
6B英语背诵,U1词组,能够,be able to,,问答
6B英语背诵,U1词组,穿蓝色短裙,in the blue skirt,,问答
6B英语背诵,U1词组,将来到我们的学校,will come to our school,,问答
6B英语背诵,U1词组,天鹅湖,Swan Lake,,问答
6B英语背诵,U1词组,棕色的卷发,brown curly hair,,问答
6B英语背诵,U1词组,优点,strong points,,问答
6B英语背诵,U1词组,一副甜美的嗓音,a beautiful voice,,问答
6B英语背诵,U1词组,又高又苗条,tall and slim,,问答
6B英语背诵,U1词组,一所姐妹学校,a partner school,,问答
6B英语背诵,U1词组,自我介绍,self-introduction,,问答
6B英语背诵,U1词组,黑色的直发,black straight hair,,问答
6B英语背诵,U1词组,一只夜莺和一只孔雀,a nightingale and a peacock,,问答
6B英语背诵,U1词组,独一无二的技能,unique skills,,问答
6B英语背诵,U1词组,一些来访学生的一张照片,a picture of some visiting students,,问答
6B英语背诵,U1词组,将共同举办一场学生达人秀,will have a student talent show together,,问答
6B英语背诵,U1词组,通过触摸来学习单词,to learn words by touching things,,问答
6B英语背诵,U1词组,有史以来最伟大的作曲家之一,one of the greatest composers of all time,,问答
6B英语背诵,U1词组,任何我可以做的事情,anything I can do,,问答
6B英语背诵,U1词组,擅长不同的东西,be good at different things,,问答
6B英语背诵,U1词组,和她的班级分享一张来访学生的照片,share with her class a picture of visiting students,,问答
6B英语背诵,U1词组,形成良好的习惯,form a good habit/good habits,,问答
6B英语背诵,U1词组,一张我和我最好的朋友的照片,a photograph of my best friend and me,,问答
6B英语背诵,U1词组,很多优点和缺点,a lot of strong points and weak points,,问答
6B英语背诵,U1词组,花很多时间在电脑游戏上,spend much time on computer games,,问答
6B英语背诵,U1词组,为活动方案做准备,prepare for the programme,,问答
6B英语背诵,U1词组,询问其他学生关于我们的活动方案,ask other students about our programme,,问答
6B英语背诵,U1词组,在才艺秀上讲一个寓言故事,tell a fable in the talent show,,问答
6B英语背诵,U1句子,今晚有一场英语电影。,There is going to be an English film tonight.,,问答
6B英语背诵,U1句子,"他这是期很忙, 但下星期有空。","He is very busy this week, but he will be free next week.",,问答
